created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-07 11:15:33 UTC,1,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:15:49 UTC,2,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:16:05 UTC,3,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:16:20 UTC,4,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:16:36 UTC,5,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:16:51 UTC,6,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:17:07 UTC,7,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:17:22 UTC,8,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:17:38 UTC,9,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:17:54 UTC,10,22.40,260,31,1,0,0,9650996588,9650996588
2018-04-07 11:31:18 UTC,11,31.28,73.31,0.00,0,0,0,9650996588,9650996588
2018-04-07 11:31:33 UTC,12,31.28,73.31,0.00,0,0,0,9650996588,9650996588
2018-04-07 11:31:49 UTC,13,30.30,72.83,0.00,0,0,0,9650996588,9650996588
2018-04-07 11:32:05 UTC,14,31.28,73.31,0.00,0,0,0,9650996588,9650996588
2018-04-07 11:32:21 UTC,15,29.81,72.83,0.00,0,0,0,9650996588,9650996588
2018-04-07 11:32:37 UTC,16,30.79,74.29,0.00,0,0,1,9650996588,9650996588
2018-04-07 11:32:53 UTC,17,31.28,72.83,0.00,0,0,0,9650996588,9650996588
